product_a,product_a_name,product_b,product_b_name,recommendation,support,confidence,lift
P004,Detergent Powder,P010,Sugar 1kg,Customers who buy Detergent Powder also buy Sugar 1kg,0.215,0.5512820512820512,1.1485042735042734
P010,Sugar 1kg,P004,Detergent Powder,Customers who buy Sugar 1kg also buy Detergent Powder,0.215,0.4479166666666667,1.1485042735042734
P005,Milk 1L,P006,Bread Loaf,Customers who buy Milk 1L also buy Bread Loaf,0.23,0.5974025974025974,1.2987012987012987
P006,Bread Loaf,P005,Milk 1L,Customers who buy Bread Loaf also buy Milk 1L,0.23,0.5,1.2987012987012987
P005,Milk 1L,P007,Eggs 12pk,Customers who buy Milk 1L also buy Eggs 12pk,0.22,0.5714285714285714,1.1661807580174928
P007,Eggs 12pk,P005,Milk 1L,Customers who buy Eggs 12pk also buy Milk 1L,0.22,0.4489795918367347,1.1661807580174928
P005,Milk 1L,P008,Coffee 500g,Customers who buy Milk 1L also buy Coffee 500g,0.225,0.5844155844155844,1.0723221732396042
P008,Coffee 500g,P005,Milk 1L,Customers who buy Coffee 500g also buy Milk 1L,0.225,0.4128440366972477,1.0723221732396042
P005,Milk 1L,P009,Tea Bags 100pk,Customers who buy Milk 1L also buy Tea Bags 100pk,0.205,0.5324675324675324,1.1209842788790156
P009,Tea Bags 100pk,P005,Milk 1L,Customers who buy Tea Bags 100pk also buy Milk 1L,0.205,0.43157894736842106,1.1209842788790156
P005,Milk 1L,P010,Sugar 1kg,Customers who buy Milk 1L also buy Sugar 1kg,0.195,0.5064935064935066,1.0551948051948055
P010,Sugar 1kg,P005,Milk 1L,Customers who buy Sugar 1kg also buy Milk 1L,0.195,0.40625000000000006,1.0551948051948052
P006,Bread Loaf,P007,Eggs 12pk,Customers who buy Bread Loaf also buy Eggs 12pk,0.27,0.5869565217391305,1.1978704525288377
P007,Eggs 12pk,P006,Bread Loaf,Customers who buy Eggs 12pk also buy Bread Loaf,0.27,0.5510204081632654,1.1978704525288377
P006,Bread Loaf,P008,Coffee 500g,Customers who buy Bread Loaf also buy Coffee 500g,0.275,0.5978260869565217,1.0969285999202232
P008,Coffee 500g,P006,Bread Loaf,Customers who buy Coffee 500g also buy Bread Loaf,0.275,0.5045871559633027,1.0969285999202232
P006,Bread Loaf,P009,Tea Bags 100pk,Customers who buy Bread Loaf also buy Tea Bags 100pk,0.225,0.4891304347826087,1.0297482837528604
P009,Tea Bags 100pk,P006,Bread Loaf,Customers who buy Tea Bags 100pk also buy Bread Loaf,0.225,0.4736842105263158,1.0297482837528604
P006,Bread Loaf,P010,Sugar 1kg,Customers who buy Bread Loaf also buy Sugar 1kg,0.215,0.46739130434782605,0.973731884057971
P010,Sugar 1kg,P006,Bread Loaf,Customers who buy Sugar 1kg also buy Bread Loaf,0.215,0.4479166666666667,0.9737318840579711
P007,Eggs 12pk,P008,Coffee 500g,Customers who buy Eggs 12pk also buy Coffee 500g,0.27,0.5510204081632654,1.0110466204830557
P008,Coffee 500g,P007,Eggs 12pk,Customers who buy Coffee 500g also buy Eggs 12pk,0.27,0.4954128440366972,1.0110466204830555
P007,Eggs 12pk,P009,Tea Bags 100pk,Customers who buy Eggs 12pk also buy Tea Bags 100pk,0.225,0.45918367346938777,0.9667024704618691
P009,Tea Bags 100pk,P007,Eggs 12pk,Customers who buy Tea Bags 100pk also buy Eggs 12pk,0.225,0.4736842105263158,0.9667024704618691
P007,Eggs 12pk,P010,Sugar 1kg,Customers who buy Eggs 12pk also buy Sugar 1kg,0.245,0.5,1.0416666666666667
P010,Sugar 1kg,P007,Eggs 12pk,Customers who buy Sugar 1kg also buy Eggs 12pk,0.245,0.5104166666666666,1.0416666666666665
P008,Coffee 500g,P009,Tea Bags 100pk,Customers who buy Coffee 500g also buy Tea Bags 100pk,0.28,0.5137614678899083,1.0816030902945437
P009,Tea Bags 100pk,P008,Coffee 500g,Customers who buy Tea Bags 100pk also buy Coffee 500g,0.28,0.5894736842105264,1.0816030902945437
P008,Coffee 500g,P010,Sugar 1kg,Customers who buy Coffee 500g also buy Sugar 1kg,0.29,0.5321100917431192,1.1085626911314983
P010,Sugar 1kg,P008,Coffee 500g,Customers who buy Sugar 1kg also buy Coffee 500g,0.29,0.6041666666666666,1.1085626911314983
P009,Tea Bags 100pk,P010,Sugar 1kg,Customers who buy Tea Bags 100pk also buy Sugar 1kg,0.24,0.5052631578947369,1.0526315789473686
P010,Sugar 1kg,P009,Tea Bags 100pk,Customers who buy Sugar 1kg also buy Tea Bags 100pk,0.24,0.5,1.0526315789473684
